book_id,book_name,author,type,ISBN,press,num,book_value
1,大学文科数学（第3版）, 张国楚,自然科学,9787040424652, 高等教育出版社,7.0,2
2,文科数学, 杨伟传 ,自然科学,9787121278051, 电子工业出版社,15.0,2
3,大学文科生数学必读, 盛立人,自然科学,9787030456953, 科学出版社,17.0,2
4,大学文科数学（第3版）学习辅导, 张国楚,教材,9787040426724, 高等教育出版社,4.0,2
5,大学文科数学, 刘早清,教材,9787030452771, 科学出版社,3.0,2
6,大学文科数学简明教程, 姚孟臣,教材,9787301079522, 北京大学出版社,28.0,2
7,发现天文学——天文科学发现的方法论基础, 王志健,自然科学,9787030449627, 科学出版社,15.0,2
8,大学文科基础数学, 姚孟臣,教材,9787301012314, 北京大学出版社,23.0,2
9,文科高等数学, 闫统江 ,教材,9787563641567, 中国石油大学出版社,9.0,2
10,高等数学（文科）, 林建华,教材,9787561515655, 厦门大学出版社,8.0,2
11,水文科学的挑战与机遇, 美国国家科学研究理事会,工业技术,9787030422682, 科学出版社,29.0,2
12,英文科技学术话语研究, 钟兰凤 ,学术,9787811308815, 江苏大学出版社,12.0,2
13,高等数学（文科类）, 李秀珍 ,教材,9787040404227, 高等教育出版社,6.0,2
14,文科高等数学, 华宜积,教材,9787309026078, 复旦大学出版社,24.0,2
15,大学文科基础数学 第一册, 姚孟臣 ,教材,9787301010754, 北京大学出版社,27.0,2
16,中国历代文学作品选/高等学校文科教材, 朱东润,教材,9787532530304, 上海古籍出版社,5.0,2
17,中国历代文学作品选/高等学校理科教材, 朱东润,教材,9787532530335, 上海古籍出版社,9.0,2
18,中国历代文学作品选/高等学校工科教材, 朱东润 ,教材,9787532530359, 上海古籍出版社,26.0,2
19,应用高等数学（文科）, 王马英,教材,9787561184219, 大连理工大学出版社,16.0,2
20,大学数学（文科用）, 曾华,教材,9787030353566, 科学出版社,3.0,2
21,地方综合性大学地理科学专业教师教育实践指导,马仁锋,教材,9787308183987, 浙江大学出版社,19.0,2
22,科幻文学论纲,吴岩,图书,9787568923194,重庆大学出版社,2.0,2
23,地理科学专业导论, 郭跃,教材,9787030580764, 科学出版社,27.0,2
24,理论力学学习指导与习题解析（理科用）（第二版）, 鞠国兴,图书,9787030571656, 科学出版社,10.0,2
25,理解正在变化的星球——地理科学的战略方向, 美国国家科学院国家研究理事会,自然科学,9787030317698, 科学出版社,18.0,2
26,生理科学实验教程, 朱健平 ,教材,9787030112514, 科学出版社,8.0,2
27,实验生理科学教程, 陈克敏 ,教材,9787030091024, 科学出版社,30.0,2
28,管理科学基础：要习要点、习题案例、英汉词汇、教学课件（附含CD—ROM光盘一张）, 杜纲,考试,9787561822203, 天津大学出版社,13.0,2
29,"量子江湖·姑苏城（“2012X具影响力图书”再度来袭,理科生的武侠 金古后的江湖）", 陈怅 ,电子电工,9787559603593, 北京联合出版公司,30.0,2
30,数理科学诠析, 樊洪明 ,公务员考试,9787112203635, 中国建筑工业出版社,9.0,2
31,管理科学与工程丛书：人力资本与技术选择适配性研究, 姜雨 ,管理,9787509750704, 社会科学文献出版社,15.0,2
32,理科类系列教材：计算机模拟方法在物理学中的应用（第3版）（影印版）, 古德 ,教材,9787040199550, 高等教育出版社,24.0,2
33, 管理运筹学：管理科学方法（第2版）,谢家平 ,管理,9787300256311, 中国人民大学出版社,9.0,2
34, 管理运筹学：管理科学方法（第3版）（教育部经济管理类主干课程教材·管理科学与工程系列教材）,谢家平 ,管理,9787300256306, 中国人民大学出版社,4.0,2
35,综合理科教程（第二版）全国学前教育专业（新课程标准）, 张国玺,文法类,9787309129809, 复旦大学出版社,30.0,2
36,生理科学进展, 王建军编,公务员考试,9787040398359, 高等教育出版社,6.0,2
37,物理科学, （美）林宛芊,沟通艺术,9787040486230, 高等教育出版社,19.0,2
38,新课标高考数学题型全归纳：理科版, 张永辉,教辅,9787560354040, 哈尔滨工业大学出版社,15.0,2
39,洞穿高考数学解答题核心考点（理科版）（附参考答案）, 张永辉,考试,9787560356709, 哈尔滨工业大学出版社,15.0,2
40,北京市五区理科数学三年高考模拟题详解, 甘志国,考试,9787560354941, 哈尔滨工业大学出版社,14.0,2
41,小逻辑 ,(德)黑格尔,哲学,9787100197458,商务印书馆,24.0,2
42,唐代政治史述论稿 ,陈寅恪,历史,9787532594016,上海古籍出版社,16.0,2
43,乡土中国,费孝通,社会,9787101092349,中华书局,30.0,2
44,资本论 ,(德)卡尔·马克思,哲学,9787561567500,厦门大学出版社,15.0,2
45,中国哲学简史,"冯友兰,赵复三",哲学,9787806882832,天津社会科学院出版社,29.0,2
46,乌合之众,(法)居斯塔夫·勒庞,社会,9787533941963,浙江文艺出版社,10.0,2
47,次第花开,希阿荣博堪布,宗教,9787544334792,海南出版社,27.0,2
48,理想国,(古希腊)柏拉图,哲学,9787513929622,民主与建设出版社,28.0,2
49,后真相时代 ,(英)赫克托·麦克唐纳,社会,9787513924443,民主与建设出版社有限责任公司,7.0,2
50,新媒体的语言 ,(俄)列夫·马诺维奇,社会,9787221158406,贵州人民出版社,29.0,2
51,苦才是人生,索达吉堪布 ,宗教,9787552700138,甘肃人民美术出版社,8.0,2
52,全宋词,唐圭璋,诗词,9787101017144,中华书局,2.0,2
53,宗教社会学 宗教与世界,"(德)马克斯·韦伯,康乐",宗教,9787549500437,广西师范大学出版社,9.0,2
54,十八家诗抄,(清)曾国藩  ,诗词,9787507429565,中国城市出版社,12.0,2
55,大国大城,陆铭,社会,9787208138636,上海人民出版社,2.0,2
56,人类简史 ,(美)房龙,历史,9787508960752,中信出版社,3.0,2
57,从晚清到民国,唐德刚,历史,9787503462252,中国文史出版社,25.0,2
58,绝妙好词 ,(宋)周密,诗词,9787534866791,中州古籍出版社,19.0,2
59,资本社会的17个矛盾 ,(美)大卫·哈维,社会,9787508667515,中信出版社,12.0,2
60,城市的胜利,(美)爱德华·格莱泽,社会,9787552001976,上海社会科学院出版社,11.0,2
61,用户画像：方法论与工程化解决方案 ,赵宏田 ,计算机,9787111635642,机械工业出版社,20.0,2
62,区块链技术指南,"邹均,张海宁,唐屹,李磊 ",计算机,9787111553564,机械工业出版社,19.0,2
63,迷人的数学,(英)伊凡·莫斯科维奇,数学,9787571009137,湖南科学技术出版社,9.0,2
64,从一到无穷大,(美)乔治·伽莫夫,物理,9787210113669,江西人民出版社,5.0,2
65,病毒星球,(美)卡尔·齐默,生物,9787549571437,广西师范大学出版社,8.0,2
66,时间的秩序,(意)卡洛·罗韦利,物理,9787571001636,湖南科学技术出版社,7.0,2
67,云计算基础架构及关键应用,陆平,计算机,9787111531760,机械工业出版社,11.0,2
68,种子的信仰,"(美)亨利·戴维·梭罗,(美)布莱德利·迪恩",生物,9787540492366,湖南文艺出版社,11.0,2
69,几何原本,(古希腊)欧几里得,数学,9787501347438,国家图书馆出版社,11.0,2
70,女士品茶：统计学如何变革了科学和生活 ,(美)戴维·萨尔斯伯格,数学,9787210085256,江西人民出版社,24.0,2
71,物质的秘密,(法)埃蒂安·克莱恩,物理,9787559807953,广西师范大学出版社,29.0,2
72,昆虫志,(美)休·莱佛士,生物,9787550295087,北京联合出版公司,13.0,2
73,物种起源,(英)查理·达尔文,生物,9787514514803,中国致公出版社,13.0,2
74,图解果壳中的宇宙,"王宇琨,董志道",物理,9787557875053,吉林科学技术出版社,4.0,2
75,人工智能：驯服赛维坦,高奇琦,计算机,9787313186386,上海交通大学出版社,29.0,2
76,生命之美：奇异植物的生存智慧 ,林十之,生物,9787571000783,湖南科学技术出版社,25.0,2
77,美丽的数学,(美)爱德华·沙伊纳曼,数学,9787571000882,湖南科学技术出版社,10.0,2
78,物理学的进化,"(美)阿尔伯特·爱因斯坦,(波兰)利奥波德·英费尔德",物理,9787516828274,台海出版社,23.0,2
79,百合圣经,(法)皮埃尔约瑟夫·雷杜德,生物,9787550245303,北京联合出版社有限责任公司,28.0,2
80,深度学习实战 ,(美)杜威·奥辛格,计算机,9787111624837,机械工业出版社,21.0,2
82,q,123,123,123,123,123,2
83,q,q,q,q,q,q,2
